,Survived,Pclass,Sex,Age,Fare,family
86,0,3,1,16.0,34.375,5
87,0,3,1,28.0,8.05,1
88,1,1,0,23.0,263.0,6
89,0,3,1,24.0,8.05,1
90,0,3,1,29.0,8.05,1
91,0,3,1,20.0,7.8542,1
92,0,1,1,46.0,61.175,2
93,0,3,1,26.0,20.575,4
94,0,3,1,59.0,7.25,1
95,0,3,1,28.0,8.05,1
96,0,1,1,71.0,34.6542,1
97,1,1,1,23.0,63.3583,2
98,1,2,0,34.0,23.0,2
99,0,2,1,34.0,26.0,2
100,0,3,0,28.0,7.8958,1
101,0,3,1,28.0,7.8958,1
102,0,1,1,21.0,77.2875,2
103,0,3,1,33.0,8.6542,1
104,0,3,1,37.0,7.925,3
105,0,3,1,28.0,7.8958,1
106,1,3,0,21.0,7.65,1
107,1,3,1,28.0,7.775,1
108,0,3,1,38.0,7.8958,1
109,1,3,0,28.0,24.15,2
110,0,1,1,47.0,52.0,1
111,0,3,0,14.5,14.4542,2
112,0,3,1,22.0,8.05,1
113,0,3,0,20.0,9.825,2
114,0,3,0,17.0,14.4583,1
115,0,3,1,21.0,7.925,1
116,0,3,1,70.5,7.75,1
117,0,2,1,29.0,21.0,2
118,0,1,1,24.0,247.5208,2
119,0,3,0,2.0,31.275,7
120,0,2,1,21.0,73.5,3
121,0,3,1,28.0,8.05,1
122,0,2,1,32.5,30.0708,2
123,1,2,0,32.5,13.0,1
124,0,1,1,54.0,77.2875,2
125,1,3,1,12.0,11.2417,2
126,0,3,1,28.0,7.75,1
127,1,3,1,24.0,7.1417,1
128,1,3,0,28.0,22.3583,3
129,0,3,1,45.0,6.975,1
130,0,3,1,33.0,7.8958,1
131,0,3,1,20.0,7.05,1
132,0,3,0,47.0,14.5,2
133,1,2,0,29.0,26.0,2
134,0,2,1,25.0,13.0,1
135,0,2,1,23.0,15.0458,1
136,1,1,0,19.0,26.2833,3
137,0,1,1,37.0,53.1,2
138,0,3,1,16.0,9.2167,1
139,0,1,1,24.0,79.2,1
140,0,3,0,28.0,15.2458,3
141,1,3,0,22.0,7.75,1
142,1,3,0,24.0,15.85,2
143,0,3,1,19.0,6.75,1
144,0,2,1,18.0,11.5,1
145,0,2,1,19.0,36.75,3
146,1,3,1,27.0,7.7958,1
147,0,3,0,9.0,34.375,5
148,0,2,1,36.5,26.0,3
149,0,2,1,42.0,13.0,1
150,0,2,1,51.0,12.525,1
151,1,1,0,22.0,66.6,2
152,0,3,1,55.5,8.05,1
153,0,3,1,40.5,14.5,3
154,0,3,1,28.0,7.3125,1
155,0,1,1,51.0,61.3792,2
156,1,3,0,16.0,7.7333,1
157,0,3,1,30.0,8.05,1
158,0,3,1,28.0,8.6625,1
159,0,3,1,28.0,69.55,11
160,0,3,1,44.0,16.1,2
161,1,2,0,40.0,15.75,1
162,0,3,1,26.0,7.775,1
163,0,3,1,17.0,8.6625,1
164,0,3,1,1.0,39.6875,6
165,1,3,1,9.0,20.525,3
166,1,1,0,28.0,55.0,2
167,0,3,0,45.0,27.9,6
168,0,1,1,28.0,25.925,1
169,0,3,1,28.0,56.4958,1
170,0,1,1,61.0,33.5,1
171,0,3,1,4.0,29.125,6
172,1,3,0,1.0,11.1333,3
173,0,3,1,21.0,7.925,1
174,0,1,1,56.0,30.6958,1
175,0,3,1,18.0,7.8542,3
176,0,3,1,28.0,25.4667,5
177,0,1,0,50.0,28.7125,1
178,0,2,1,30.0,13.0,1
179,0,3,1,36.0,0.0,1
180,0,3,0,28.0,69.55,11
181,0,2,1,28.0,15.05,1
182,0,3,1,9.0,31.3875,7
183,1,2,1,1.0,39.0,4
184,1,3,0,4.0,22.025,3
185,0,1,1,28.0,50.0,1
186,1,3,0,28.0,15.5,2
187,1,1,1,45.0,26.55,1
188,0,3,1,40.0,15.5,3
189,0,3,1,36.0,7.8958,1
190,1,2,0,32.0,13.0,1
191,0,2,1,19.0,13.0,1
192,1,3,0,19.0,7.8542,2
193,1,2,1,3.0,26.0,3
194,1,1,0,44.0,27.7208,1
195,1,1,0,58.0,146.5208,1
196,0,3,1,28.0,7.75,1
197,0,3,1,42.0,8.4042,2
198,1,3,0,28.0,7.75,1
199,0,2,0,24.0,13.0,1
200,0,3,1,28.0,9.5,1
201,0,3,1,28.0,69.55,11
202,0,3,1,34.0,6.4958,1
203,0,3,1,45.5,7.225,1
204,1,3,1,18.0,8.05,1
205,0,3,0,2.0,10.4625,2
206,0,3,1,32.0,15.85,2
207,1,3,1,26.0,18.7875,1
208,1,3,0,16.0,7.75,1
209,1,1,1,40.0,31.0,1
210,0,3,1,24.0,7.05,1
211,1,2,0,35.0,21.0,1
212,0,3,1,22.0,7.25,1
213,0,2,1,30.0,13.0,1
214,0,3,1,28.0,7.75,2
215,1,1,0,31.0,113.275,2
216,1,3,0,27.0,7.925,1
217,0,2,1,42.0,27.0,2
218,1,1,0,32.0,76.2917,1
219,0,2,1,30.0,10.5,1
220,1,3,1,16.0,8.05,1
221,0,2,1,27.0,13.0,1
222,0,3,1,51.0,8.05,1
223,0,3,1,28.0,7.8958,1
224,1,1,1,38.0,90.0,2
225,0,3,1,22.0,9.35,1
226,1,2,1,19.0,10.5,1
227,0,3,1,20.5,7.25,1
228,0,2,1,18.0,13.0,1
229,0,3,0,28.0,25.4667,5
230,1,1,0,35.0,83.475,2
231,0,3,1,29.0,7.775,1
232,0,2,1,59.0,13.5,1
233,1,3,0,5.0,31.3875,7
234,0,2,1,24.0,10.5,1
235,0,3,0,28.0,7.55,1
236,0,2,1,44.0,26.0,2
237,1,2,0,8.0,26.25,3
238,0,2,1,19.0,10.5,1
239,0,2,1,33.0,12.275,1
240,0,3,0,28.0,14.4542,2
241,1,3,0,28.0,15.5,2
242,0,2,1,29.0,10.5,1
243,0,3,1,22.0,7.125,1
244,0,3,1,30.0,7.225,1
245,0,1,1,44.0,90.0,3
246,0,3,0,25.0,7.775,1
247,1,2,0,24.0,14.5,3
248,1,1,1,37.0,52.5542,3
249,0,2,1,54.0,26.0,2
250,0,3,1,28.0,7.25,1
251,0,3,0,29.0,10.4625,3
252,0,1,1,62.0,26.55,1
253,0,3,1,30.0,16.1,2
254,0,3,0,41.0,20.2125,3
255,1,3,0,29.0,15.2458,3
256,1,1,0,28.0,79.2,1
257,1,1,0,30.0,86.5,1
258,1,1,0,35.0,512.3292,1
259,1,2,0,50.0,26.0,2
260,0,3,1,28.0,7.75,1
261,1,3,1,3.0,31.3875,7
262,0,1,1,52.0,79.65,3
263,0,1,1,40.0,0.0,1
264,0,3,0,28.0,7.75,1
265,0,2,1,36.0,10.5,1
266,0,3,1,16.0,39.6875,6
267,1,3,1,25.0,7.775,2
268,1,1,0,58.0,153.4625,2
269,1,1,0,35.0,135.6333,1
270,0,1,1,28.0,31.0,1
271,1,3,1,25.0,0.0,1
272,1,2,0,41.0,19.5,2
273,0,1,1,37.0,29.7,2
274,1,3,0,28.0,7.75,1
275,1,1,0,63.0,77.9583,2
276,0,3,0,45.0,7.75,1
277,0,2,1,28.0,0.0,1
278,0,3,1,7.0,29.125,6
279,1,3,0,35.0,20.25,3
280,0,3,1,65.0,7.75,1
281,0,3,1,28.0,7.8542,1
282,0,3,1,16.0,9.5,1
283,1,3,1,19.0,8.05,1
284,0,1,1,28.0,26.0,1
285,0,3,1,33.0,8.6625,1
286,1,3,1,30.0,9.5,1
287,0,3,1,22.0,7.8958,1
288,1,2,1,42.0,13.0,1
289,1,3,0,22.0,7.75,1
290,1,1,0,26.0,78.85,1
291,1,1,0,19.0,91.0792,2
292,0,2,1,36.0,12.875,1
293,0,3,0,24.0,8.85,1
294,0,3,1,24.0,7.8958,1
295,0,1,1,28.0,27.7208,1
296,0,3,1,23.5,7.2292,1
297,0,1,0,2.0,151.55,4
298,1,1,1,28.0,30.5,1
299,1,1,0,50.0,247.5208,2
300,1,3,0,28.0,7.75,1
301,1,3,1,28.0,23.25,3
302,0,3,1,19.0,0.0,1
303,1,2,0,28.0,12.35,1
304,0,3,1,28.0,8.05,1
305,1,1,1,0.92,151.55,4
306,1,1,0,28.0,110.8833,1
307,1,1,0,17.0,108.9,2
308,0,2,1,30.0,24.0,2
309,1,1,0,30.0,56.9292,1
310,1,1,0,24.0,83.1583,1
311,1,1,0,18.0,262.375,5
312,0,2,0,26.0,26.0,3
313,0,3,1,28.0,7.8958,1
314,0,2,1,43.0,26.25,3
315,1,3,0,26.0,7.8542,1
316,1,2,0,24.0,26.0,2
317,0,2,1,54.0,14.0,1
318,1,1,0,31.0,164.8667,3
319,1,1,0,40.0,134.5,3
320,0,3,1,22.0,7.25,1
321,0,3,1,27.0,7.8958,1
322,1,2,0,30.0,12.35,1
323,1,2,0,22.0,29.0,3
324,0,3,1,28.0,69.55,11
325,1,1,0,36.0,135.6333,1
326,0,3,1,61.0,6.2375,1
327,1,2,0,36.0,13.0,1
328,1,3,0,31.0,20.525,3
329,1,1,0,16.0,57.9792,2
330,1,3,0,28.0,23.25,3
331,0,1,1,45.5,28.5,1
332,0,1,1,38.0,153.4625,2
333,0,3,1,16.0,18.0,3
334,1,1,0,28.0,133.65,2
335,0,3,1,28.0,7.8958,1
336,0,1,1,29.0,66.6,2
337,1,1,0,41.0,134.5,1
338,1,3,1,45.0,8.05,1
339,0,1,1,45.0,35.5,1
340,1,2,1,2.0,26.0,3
341,1,1,0,24.0,263.0,6
342,0,2,1,28.0,13.0,1
343,0,2,1,25.0,13.0,1
344,0,2,1,36.0,13.0,1
345,1,2,0,24.0,13.0,1
346,1,2,0,40.0,13.0,1
347,1,3,0,28.0,16.1,2
348,1,3,1,3.0,15.9,3
349,0,3,1,42.0,8.6625,1
350,0,3,1,23.0,9.225,1
351,0,1,1,28.0,35.0,1
352,0,3,1,15.0,7.2292,3
353,0,3,1,25.0,17.8,2
354,0,3,1,28.0,7.225,1
355,0,3,1,28.0,9.5,1
356,1,1,0,22.0,55.0,2
357,0,2,0,38.0,13.0,1
358,1,3,0,28.0,7.8792,1
359,1,3,0,28.0,7.8792,1
360,0,3,1,40.0,27.9,6
361,0,2,1,29.0,27.7208,2
362,0,3,0,45.0,14.4542,2
363,0,3,1,35.0,7.05,1
364,0,3,1,28.0,15.5,2
365,0,3,1,30.0,7.25,1
366,1,1,0,60.0,75.25,2
367,1,3,0,28.0,7.2292,1
368,1,3,0,28.0,7.75,1
369,1,1,0,24.0,69.3,1
370,1,1,1,25.0,55.4417,2
371,0,3,1,18.0,6.4958,2
372,0,3,1,19.0,8.05,1
373,0,1,1,22.0,135.6333,1
374,0,3,0,3.0,21.075,5
375,1,1,0,28.0,82.1708,2
376,1,3,0,22.0,7.25,1
377,0,1,1,27.0,211.5,3
378,0,3,1,20.0,4.0125,1
379,0,3,1,19.0,7.775,1
380,1,1,0,42.0,227.525,1
381,1,3,0,1.0,15.7417,3
382,0,3,1,32.0,7.925,1
383,1,1,0,35.0,52.0,2
384,0,3,1,28.0,7.8958,1
385,0,2,1,18.0,73.5,1
386,0,3,1,1.0,46.9,8
387,1,2,0,36.0,13.0,1
388,0,3,1,28.0,7.7292,1
389,1,2,0,17.0,12.0,1
390,1,1,1,36.0,120.0,4
391,1,3,1,21.0,7.7958,1
392,0,3,1,28.0,7.925,3
393,1,1,0,23.0,113.275,2
394,1,3,0,24.0,16.7,3
395,0,3,1,22.0,7.7958,1
396,0,3,0,31.0,7.8542,1
397,0,2,1,46.0,26.0,1
398,0,2,1,23.0,10.5,1
399,1,2,0,28.0,12.65,1
400,1,3,1,39.0,7.925,1
401,0,3,1,26.0,8.05,1
402,0,3,0,21.0,9.825,2
403,0,3,1,28.0,15.85,2
404,0,3,0,20.0,8.6625,1
405,0,2,1,34.0,21.0,2
406,0,3,1,51.0,7.75,1
407,1,2,1,3.0,18.75,3
408,0,3,1,21.0,7.775,1
409,0,3,0,28.0,25.4667,5
410,0,3,1,28.0,7.8958,1
411,0,3,1,28.0,6.8583,1
412,1,1,0,33.0,90.0,2
413,0,2,1,28.0,0.0,1
414,1,3,1,44.0,7.925,1
415,0,3,0,28.0,8.05,1
416,1,2,0,34.0,32.5,3
417,1,2,0,18.0,13.0,3
418,0,2,1,30.0,13.0,1
419,0,3,0,10.0,24.15,3
420,0,3,1,28.0,7.8958,1
421,0,3,1,21.0,7.7333,1
422,0,3,1,29.0,7.875,1
423,0,3,0,28.0,14.4,3
424,0,3,1,18.0,20.2125,3
425,0,3,1,28.0,7.25,1
426,1,2,0,28.0,26.0,2
427,1,2,0,19.0,26.0,1
428,0,3,1,28.0,7.75,1
429,1,3,1,32.0,8.05,1
430,1,1,1,28.0,26.55,1
431,1,3,0,28.0,16.1,2
432,1,2,0,42.0,26.0,2
433,0,3,1,17.0,7.125,1
434,0,1,1,50.0,55.9,2
435,1,1,0,14.0,120.0,4
436,0,3,0,21.0,34.375,5
437,1,2,0,24.0,18.75,6
438,0,1,1,64.0,263.0,6
439,0,2,1,31.0,10.5,1
440,1,2,0,45.0,26.25,3
441,0,3,1,20.0,9.5,1
442,0,3,1,25.0,7.775,2
443,1,2,0,28.0,13.0,1
444,1,3,1,28.0,8.1125,1
445,1,1,1,4.0,81.8583,3
446,1,2,0,13.0,19.5,2
447,1,1,1,34.0,26.55,1
448,1,3,0,5.0,19.2583,4
449,1,1,1,52.0,30.5,1
450,0,2,1,36.0,27.75,4
451,0,3,1,28.0,19.9667,2
452,0,1,1,30.0,27.75,1
453,1,1,1,49.0,89.1042,2
454,0,3,1,28.0,8.05,1
455,1,3,1,29.0,7.8958,1
456,0,1,1,65.0,26.55,1
457,1,1,0,28.0,51.8625,2
458,1,2,0,50.0,10.5,1
459,0,3,1,28.0,7.75,1
460,1,1,1,48.0,26.55,1
461,0,3,1,34.0,8.05,1
462,0,1,1,47.0,38.5,1
463,0,2,1,48.0,13.0,1
464,0,3,1,28.0,8.05,1
465,0,3,1,38.0,7.05,1
466,0,2,1,28.0,0.0,1
467,0,1,1,56.0,26.55,1
468,0,3,1,28.0,7.725,1
469,1,3,0,0.75,19.2583,4
470,0,3,1,28.0,7.25,1
471,0,3,1,38.0,8.6625,1
472,1,2,0,33.0,27.75,4
473,1,2,0,23.0,13.7917,1
474,0,3,0,22.0,9.8375,1
475,0,1,1,28.0,52.0,1
476,0,2,1,34.0,21.0,2
477,0,3,1,29.0,7.0458,2
478,0,3,1,22.0,7.5208,1
479,1,3,0,2.0,12.2875,2
480,0,3,1,9.0,46.9,8
481,0,2,1,28.0,0.0,1
482,0,3,1,50.0,8.05,1
483,1,3,0,63.0,9.5875,1
484,1,1,1,25.0,91.0792,2
485,0,3,0,28.0,25.4667,5
486,1,1,0,35.0,90.0,2
487,0,1,1,58.0,29.7,1
488,0,3,1,30.0,8.05,1
489,1,3,1,9.0,15.9,3
490,0,3,1,28.0,19.9667,2
491,0,3,1,21.0,7.25,1
492,0,1,1,55.0,30.5,1
493,0,1,1,71.0,49.5042,1
494,0,3,1,21.0,8.05,1
495,0,3,1,28.0,14.4583,1
496,1,1,0,54.0,78.2667,2
497,0,3,1,28.0,15.1,1
498,0,1,0,25.0,151.55,4
499,0,3,1,24.0,7.7958,1
500,0,3,1,17.0,8.6625,1
501,0,3,0,21.0,7.75,1
502,0,3,0,28.0,7.6292,1
503,0,3,0,37.0,9.5875,1
504,1,1,0,16.0,86.5,1
505,0,1,1,18.0,108.9,2
506,1,2,0,33.0,26.0,3
507,1,1,1,28.0,26.55,1
508,0,3,1,28.0,22.525,1
509,1,3,1,26.0,56.4958,1
510,1,3,1,29.0,7.75,1
511,0,3,1,28.0,8.05,1
512,1,1,1,36.0,26.2875,1
513,1,1,0,54.0,59.4,2
514,0,3,1,24.0,7.4958,1
515,0,1,1,47.0,34.0208,1
516,1,2,0,34.0,10.5,1
517,0,3,1,28.0,24.15,1
518,1,2,0,36.0,26.0,2
519,0,3,1,32.0,7.8958,1
520,1,1,0,30.0,93.5,1
521,0,3,1,22.0,7.8958,1
522,0,3,1,28.0,7.225,1
523,1,1,0,44.0,57.9792,2
524,0,3,1,28.0,7.2292,1
525,0,3,1,40.5,7.75,1
526,1,2,0,50.0,10.5,1
527,0,1,1,28.0,221.7792,1
528,0,3,1,39.0,7.925,1
529,0,2,1,23.0,11.5,4
530,1,2,0,2.0,26.0,3
531,0,3,1,28.0,7.2292,1
532,0,3,1,17.0,7.2292,3
533,1,3,0,28.0,22.3583,3
534,0,3,0,30.0,8.6625,1
535,1,2,0,7.0,26.25,3
536,0,1,1,45.0,26.55,1
537,1,1,0,30.0,106.425,1
538,0,3,1,28.0,14.5,1
539,1,1,0,22.0,49.5,3
540,1,1,0,36.0,71.0,3
541,0,3,0,9.0,31.275,7
542,0,3,0,11.0,31.275,7
543,1,2,1,32.0,26.0,2
544,0,1,1,50.0,106.425,2
545,0,1,1,64.0,26.0,1
546,1,2,0,19.0,26.0,2
547,1,2,1,28.0,13.8625,1
548,0,3,1,33.0,20.525,3
549,1,2,1,8.0,36.75,3
550,1,1,1,17.0,110.8833,3
551,0,2,1,27.0,26.0,1
552,0,3,1,28.0,7.8292,1
553,1,3,1,22.0,7.225,1
554,1,3,0,22.0,7.775,1
555,0,1,1,62.0,26.55,1
556,1,1,0,48.0,39.6,2
557,0,1,1,28.0,227.525,1
558,1,1,0,39.0,79.65,3
559,1,3,0,36.0,17.4,2
560,0,3,1,28.0,7.75,1
561,0,3,1,40.0,7.8958,1
562,0,2,1,28.0,13.5,1
563,0,3,1,28.0,8.05,1
564,0,3,0,28.0,8.05,1
565,0,3,1,24.0,24.15,3
566,0,3,1,19.0,7.8958,1
567,0,3,0,29.0,21.075,5
568,0,3,1,28.0,7.2292,1
569,1,3,1,32.0,7.8542,1
570,1,2,1,62.0,10.5,1
571,1,1,0,53.0,51.4792,3
572,1,1,1,36.0,26.3875,1
573,1,3,0,28.0,7.75,1
574,0,3,1,16.0,8.05,1
575,0,3,1,19.0,14.5,1
576,1,2,0,34.0,13.0,1
577,1,1,0,39.0,55.9,2
578,0,3,0,28.0,14.4583,2
579,1,3,1,32.0,7.925,1
580,1,2,0,25.0,30.0,3
581,1,1,0,39.0,110.8833,3
582,0,2,1,54.0,26.0,1
583,0,1,1,36.0,40.125,1
584,0,3,1,28.0,8.7125,1
585,1,1,0,18.0,79.65,3
586,0,2,1,47.0,15.0,1
587,1,1,1,60.0,79.2,3
588,0,3,1,22.0,8.05,1
589,0,3,1,28.0,8.05,1
590,0,3,1,35.0,7.125,1
591,1,1,0,52.0,78.2667,2
592,0,3,1,47.0,7.25,1
593,0,3,0,28.0,7.75,3
594,0,2,1,37.0,26.0,2
595,0,3,1,36.0,24.15,3
596,1,2,0,28.0,33.0,1
597,0,3,1,49.0,0.0,1
598,0,3,1,28.0,7.225,1
599,1,1,1,49.0,56.9292,2
600,1,2,0,24.0,27.0,4
601,0,3,1,28.0,7.8958,1
602,0,1,1,28.0,42.4,1
603,0,3,1,44.0,8.05,1
604,1,1,1,35.0,26.55,1
605,0,3,1,36.0,15.55,2
606,0,3,1,30.0,7.8958,1
607,1,1,1,27.0,30.5,1
608,1,2,0,22.0,41.5792,4
609,1,1,0,40.0,153.4625,1
610,0,3,0,39.0,31.275,7
611,0,3,1,28.0,7.05,1
612,1,3,0,28.0,15.5,2
613,0,3,1,28.0,7.75,1
614,0,3,1,35.0,8.05,1
615,1,2,0,24.0,65.0,4
616,0,3,1,34.0,14.4,3
617,0,3,0,26.0,16.1,2
618,1,2,0,4.0,39.0,4
619,0,2,1,26.0,10.5,1
620,0,3,1,27.0,14.4542,2
621,1,1,1,42.0,52.5542,2
622,1,3,1,20.0,15.7417,3
623,0,3,1,21.0,7.8542,1
624,0,3,1,21.0,16.1,1
625,0,1,1,61.0,32.3208,1
626,0,2,1,57.0,12.35,1
627,1,1,0,21.0,77.9583,1
628,0,3,1,26.0,7.8958,1
629,0,3,1,28.0,7.7333,1
630,1,1,1,80.0,30.0,1
631,0,3,1,51.0,7.0542,1
632,1,1,1,32.0,30.5,1
633,0,1,1,28.0,0.0,1
634,0,3,0,9.0,27.9,6
635,1,2,0,28.0,13.0,1
636,0,3,1,32.0,7.925,1
637,0,2,1,31.0,26.25,3
638,0,3,0,41.0,39.6875,6
639,0,3,1,28.0,16.1,2
640,0,3,1,20.0,7.8542,1
641,1,1,0,24.0,69.3,1
642,0,3,0,2.0,27.9,6
643,1,3,1,28.0,56.4958,1
644,1,3,0,0.75,19.2583,4
645,1,1,1,48.0,76.7292,2
646,0,3,1,19.0,7.8958,1
647,1,1,1,56.0,35.5,1
648,0,3,1,28.0,7.55,1
649,1,3,0,23.0,7.55,1
650,0,3,1,28.0,7.8958,1
651,1,2,0,18.0,23.0,2
652,0,3,1,21.0,8.4333,1
653,1,3,0,28.0,7.8292,1
654,0,3,0,18.0,6.75,1
655,0,2,1,24.0,73.5,3
656,0,3,1,28.0,7.8958,1
657,0,3,0,32.0,15.5,3
658,0,2,1,23.0,13.0,1
659,0,1,1,58.0,113.275,3
660,1,1,1,50.0,133.65,3
661,0,3,1,40.0,7.225,1
662,0,1,1,47.0,25.5875,1
663,0,3,1,36.0,7.4958,1
664,1,3,1,20.0,7.925,2
665,0,2,1,32.0,73.5,3
666,0,2,1,25.0,13.0,1
667,0,3,1,28.0,7.775,1
668,0,3,1,43.0,8.05,1
669,1,1,0,28.0,52.0,2
670,1,2,0,40.0,39.0,3
671,0,1,1,31.0,52.0,2
672,0,2,1,70.0,10.5,1
673,1,2,1,31.0,13.0,1
674,0,2,1,28.0,0.0,1
675,0,3,1,18.0,7.775,1
676,0,3,1,24.5,8.05,1
677,1,3,0,18.0,9.8417,1
678,0,3,0,43.0,46.9,8
679,1,1,1,36.0,512.3292,2
680,0,3,0,28.0,8.1375,1
681,1,1,1,27.0,76.7292,1
682,0,3,1,20.0,9.225,1
683,0,3,1,14.0,46.9,8
684,0,2,1,60.0,39.0,3
685,0,2,1,25.0,41.5792,4
686,0,3,1,14.0,39.6875,6
687,0,3,1,19.0,10.1708,1
688,0,3,1,18.0,7.7958,1
689,1,1,0,15.0,211.3375,2
690,1,1,1,31.0,57.0,2
691,1,3,0,4.0,13.4167,2
692,1,3,1,28.0,56.4958,1
693,0,3,1,25.0,7.225,1
694,0,1,1,60.0,26.55,1
695,0,2,1,52.0,13.5,1
696,0,3,1,44.0,8.05,1
697,1,3,0,28.0,7.7333,1
698,0,1,1,49.0,110.8833,3
699,0,3,1,42.0,7.65,1
700,1,1,0,18.0,227.525,2
701,1,1,1,35.0,26.2875,1
702,0,3,0,18.0,14.4542,2
703,0,3,1,25.0,7.7417,1
704,0,3,1,26.0,7.8542,2
705,0,2,1,39.0,26.0,1
706,1,2,0,45.0,13.5,1
707,1,1,1,42.0,26.2875,1
708,1,1,0,22.0,151.55,1
709,1,3,1,28.0,15.2458,3
710,1,1,0,24.0,49.5042,1
711,0,1,1,28.0,26.55,1
712,1,1,1,48.0,52.0,2
713,0,3,1,29.0,9.4833,1
714,0,2,1,52.0,13.0,1
715,0,3,1,19.0,7.65,1
716,1,1,0,38.0,227.525,1
717,1,2,0,27.0,10.5,1
718,0,3,1,28.0,15.5,1
719,0,3,1,33.0,7.775,1
720,1,2,0,6.0,33.0,2
721,0,3,1,17.0,7.0542,2
722,0,2,1,34.0,13.0,1
723,0,2,1,50.0,13.0,1
724,1,1,1,27.0,53.1,2
725,0,3,1,20.0,8.6625,1
726,1,2,0,30.0,21.0,4
727,1,3,0,28.0,7.7375,1
728,0,2,1,25.0,26.0,2
729,0,3,0,25.0,7.925,2
730,1,1,0,29.0,211.3375,1
731,0,3,1,11.0,18.7875,1
732,0,2,1,28.0,0.0,1
733,0,2,1,23.0,13.0,1
734,0,2,1,23.0,13.0,1
735,0,3,1,28.5,16.1,1
736,0,3,0,48.0,34.375,5
737,1,1,1,35.0,512.3292,1
738,0,3,1,28.0,7.8958,1
739,0,3,1,28.0,7.8958,1
740,1,1,1,28.0,30.0,1
741,0,1,1,36.0,78.85,2
742,1,1,0,21.0,262.375,5
743,0,3,1,24.0,16.1,2
744,1,3,1,31.0,7.925,1
745,0,1,1,70.0,71.0,3
746,0,3,1,16.0,20.25,3
747,1,2,0,30.0,13.0,1
748,0,1,1,19.0,53.1,2
749,0,3,1,31.0,7.75,1
750,1,2,0,4.0,23.0,3
751,1,3,1,6.0,12.475,2
752,0,3,1,33.0,9.5,1
753,0,3,1,23.0,7.8958,1
754,1,2,0,48.0,65.0,4
755,1,2,1,0.67,14.5,3
756,0,3,1,28.0,7.7958,1
757,0,2,1,18.0,11.5,1
758,0,3,1,34.0,8.05,1
759,1,1,0,33.0,86.5,1
760,0,3,1,28.0,14.5,1
